1
100 100
67 24 28
77 66 17
43 91 47
14 2 2
48 77 33
30 48 26
5 25 25
20 28 83
3 27 73
36 7 11
17 13 83
87 88 93
52 45 23
15 41 5
28 80 30
31 45 12
34 90 11
49 95 51
18 42 42
56 2 15
93 90 54
94 14 0
16 42 88
84 25 69
42 41 98
90 16 16
17 99 62
46 37 8
27 14 98
78 71 72
53 10 93
25 21 16
25 95 56
51 50 45
64 57 33
17 9 12
56 23 85
92 17 44
87 68 29
68 12 22
18 27 41
22 62 49
81 23 64
14 92 64
14 27 92
14 42 67
83 4 45
62 77 46
32 65 41
55 53 69
41 18 80
83 30 51
94 84 45
78 55 0
41 60 77
74 37 69
91 53 29
66 4 19
25 68 5
58 33 81
54 91 90
99 25 94
19 93 34
32 89 45
89 35 35
72 70 43
8 47 70
26 78 42
72 14 56
68 75 56
38 41 42
42 98 20
34 11 62
23 16 70
78 94 72
52 2 65
63 77 0
96 72 63
42 49 62
58 46 33
44 37 84
82 3 50
53 21 85
96 12 14
70 79 99
9 15 58
92 1 48
87 41 70
21 65 43
30 65 97
89 78 36
100 45 80
98 37 40
46 53 13
53 57 94
76 99 46
53 39 89
67 55 17
67 29 87
20 63 41
50 58 43
13 44 36
65 73 21
21 94 72
46 50 32
38 6 18
90 65 96
90 92 92
6 42 83
86 91 7
88 2 13
78 22 41
60 2 49
30 79 0
69 75 45
36 83 34
2 79 87
75 100 33
92 27 15
40 94 33
79 76 11
97 99 76
34 84 14
71 90 34
72 53 1
36 15 44
35 31 80
23 93 97
93 97 77
38 79 58
91 95 67
9 61 97
98 34 48
8 41 19
67 18 63
25 15 74
31 24 32
80 34 41
90 34 6
7 4 16
64 13 41
24 54 51
31 92 50
8 19 30
18 67 21
99 20 0
39 70 34
28 90 91
35 42 15
92 73 71
9 19 87
85 49 47
42 33 76
46 71 9
16 58 10
75 86 25
14 49 50
91 18 11
74 50 20
80 75 12
62 84 97
85 56 38
56 12 59
67 4 45
47 24 12
85 6 41
3 39 75
53 12 19
34 68 89
33 41 38
67 70 33
36 80 55
38 87 3
37 100 89
46 4 19
84 48 89
97 26 81
33 62 53
42 100 37
50 23 27
83 59 12
25 10 26
71 93 79
49 71 20
98 63 86
54 70 66
71 15 98
29 25 73
27 75 48
21 76 77
75 12 60
30 1 36
94 77 28
99 74 65
60 74 66
56 57 57
40 54 38
95 82 55
22 16 26
76 72 80
21 28 12
94 18 43
8 22 10
81 73 7
47 97 98
47 65 96
90 81 81
63 38 2
50 54 10
69 35 33
27 100 47
27 5 96
4 81 22
53 36 73
56 91 63
8 72 91
81 100 88
59 100 1
6 91 83
52 92 58
76 66 77
59 12 33
100 53 48
38 40 58
31 32 86
57 89 50
50 57 47
71 88 85
60 89 26
41 92 7
77 98 94
83 82 97
45 79 33
44 23 3
86 25 66
27 12 22
3 33 63
9 27 64
17 41 74
35 86 38
24 2 50
39 82 1
9 50 17
71 72 50
7 98 18
41 99 1
71 95 82
78 58 47
27 4 10
25 81 21
54 60 22
31 59 27
86 79 26
41 89 68
31 30 35
22 71 91
69 66 59
28 78 15
12 20 45
27 24 42
87 7 30
18 6 72
99 61 20
97 51 4
85 62 45
19 94 44
3 18 45
59 75 58
41 64 62
54 85 12
14 34 94
7 22 30
46 70 80
69 47 50
83 9 63
48 11 67
11 10 7
48 23 7
92 35 54
59 6 31
50 65 51
35 32 15
25 1 71
92 59 68
99 93 23
99 94 92
21 89 52
92 98 37
49 96 27
75 18 99
73 38 8
38 23 52
18 48 34
61 3 86
15 2 66
3 21 89
100 42 78
71 94 38
63 26 50
76 97 40
33 34 61
70 42 65
40 34 52
95 59 58
24 6 2
67 6 47
16 65 66
27 67 48
38 30 85
90 60 62
23 86 67
84 33 33
51 77 70
51 5 7
75 3 53
13 45 16
82 16 30
86 34 77
26 53 56
20 22 5
67 47 34
59 84 87
84 77 22
3 45 96
1 81 23
84 95 75
63 54 97
7 57 33
77 59 7
50 66 41
35 95 79
63 19 61
74 10 10
13 22 6
16 73 66
91 34 29
13 39 80
62 33 77
