7
3 3
1 1 1
1 2 2
1 3 3
2 1 2
2 2 4
2 3 6
3 1 3
3 2 6
3 3 9
0 0 0
4 4
1 1 0
1 2 1
1 3 1
1 4 1
2 1 1
2 2 1
2 3 1
2 4 0
3 1 0
3 2 1
3 3 1
3 4 1
4 1 1
4 2 0
4 3 0
4 4 1
0 0 0
3 3
1 1 1500
1 2 4000
1 3 4500
2 1 2000
2 2 6000
2 3 3500
3 1 2000
3 2 4000
3 3 2500
0 0 0
6 6
1 1 72
1 2 38
1 3 67
1 4 96
1 5 64
1 6 66
2 1 12
2 2 85
2 3 2
2 4 96
2 5 23
2 6 23
3 1 92
3 2 38
3 3 98
3 4 55
3 5 40
3 6 7
4 1 64
4 2 56
4 3 46
4 4 25
4 5 35
4 6 84
5 1 93
5 2 21
5 3 68
5 4 94
5 5 21
5 6 11
6 1 46
6 2 68
6 3 14
6 4 75
6 5 76
6 6 37
0 0 0
4 4
1 1 92
1 2 68
1 3 83
1 4 57
2 1 68
2 2 57
2 3 25
2 4 70
3 1 17
3 2 31
3 3 22
3 4 57
4 1 4
4 2 8
4 3 71
4 4 12
0 0 0
4 4
1 1 82
1 2 83
1 3 69
1 4 92
2 1 77
2 2 37
2 3 49
2 4 92
3 1 11
3 2 69
3 3 5
3 4 86
4 1 8
4 2 9
4 3 98
4 4 23
0 0 0
3 3
1 1 108
1 2 125
1 3 150
2 1 150
2 2 135
2 3 175
3 1 122
3 2 148
3 3 250
0 0 0
4
3 2
1 1 10
2 1 19
2 2 11
3 2 1
0 0 0
4 4
1 1 6
1 2 6
2 1 8
2 3 9
2 4 8
3 2 8
4 3 7
0 0 0
3 2
1 1 10
2 1 21
2 2 11
3 2 1
0 0 0
3 2
1 1 100
1 2 100
2 1 100
2 2 100
3 1 100
3 2 100
0 0 0


Output:
minimizing:
10
1
8500
117
107
140
407
maximizing:
21
29
22
200
